County,change_per_1000
Alameda,9.940291
Alpine,-100
Amador,75.308222
Butte,4.388394
Calaveras,14.997581
Colusa,-50.644491
Contra Costa,9.580732
Del Norte,-30.911961
El Dorado,10.177258
Fresno,6.967445
Glenn,25.862624
Humboldt,1.199816
Imperial,23.771749
Inyo,17.732744
Kern,9.518227
Kings,0.36301
Lake,10.55559
Lassen,27.689722
Los Angeles,11.615733
Madera,1.926255
Marin,7.979239
Mariposa,-7.814045
Mendocino,3.559302
Merced,8.715995
Modoc,-54.391487
Mono,18.553058
Monterey,3.57861
Napa,5.042914
Nevada,22.22178
Orange,12.882804
Placer,14.419435
Plumas,-27.345832
Riverside,8.469984
Sacramento,8.757118
San Benito,1.701033
San Bernardino,9.407534
San Diego,10.291937
San Francisco,18.539194
San Joaquin,10.002039
San Luis Obispo,2.635633
San Mateo,12.128123
Santa Barbara,14.825446
Santa Clara,12.567269
Santa Cruz,-1.414178
Shasta,-8.875624
Sierra,4.588394
Siskiyou,-1.000698
Solano,1.634526
Sonoma,3.20604
Stanislaus,7.105322
Sutter,13.882177
Tehama,-3.08957
Trinity,-46.736506
Tulare,19.199716
Tuolumne,-14.499546
Ventura,11.938988
Yolo,3.067282
Yuba,-9.778718